,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital,Reserves,Face Value
2,adaniports,MAR'15,"39,093.60","7,995.00","47,088.60","13,019.40","34,069.20","26,367.90","7,701.30","18,666.60",0.00,"21,481.70",-349.70,"21,831.40",10.55,"4,140.10",0.00,"1,07,863.00",2.00
3,adaniports,MAR'14,"43,457.80","6,797.50","50,255.30","17,817.00","32,438.30","26,659.60","5,778.70","20,880.90",0.00,"22,102.50","1,940.80","20,161.70",9.74,"4,140.10",0.00,"89,190.70",2.00
4,adaniports,MAR'13,"33,610.50","2,032.40","35,642.90","9,332.40","26,310.50","22,315.70","3,994.80","18,320.90",0.00,"18,891.90","1,350.10","17,541.80",8.76,"4,006.80",0.00,"63,004.80",2.00
0,eichermot,MAR'17,"79,440.60","2,273.10","81,713.70","57,382.50","24,331.20","24,303.30",27.90,"24,275.40",0.00,"22,769.90","7,169.70","15,600.20",573.75,272.10,0.00,0.00,10.00
1,eichermot,MAR'16,"61,880.30","1,782.40","63,662.70","44,575.50","19,087.20","19,073.10",14.10,"19,059.00",0.00,"17,695.80","5,397.30","12,298.50",453.20,271.60,0.00,0.00,10.00
2,eichermot,DEC'13,"17,024.70",801.00,"17,825.70","13,887.40","3,938.30","3,935.60",2.70,"3,932.90",0.00,"3,631.50",845.30,"2,786.20",103.04,270.40,0.00,"7,943.00",10.00
3,eichermot,DEC'12,"10,492.60",457.80,"10,950.40","9,038.30","1,912.10","1,909.50",2.60,"1,906.90",0.00,"1,738.00",290.40,"1,447.60",53.61,270.00,0.00,"6,020.50",10.00
4,eichermot,DEC'11,"6,709.50",758.90,"7,468.40","5,899.70","1,568.70","1,548.50",20.20,"1,528.30",0.00,"1,418.30",172.80,"1,245.50",46.15,269.90,0.00,"5,130.50",10.00
0,bajaj-auto,MAR'17,"2,30,880.00","12,219.70","2,43,100.00","1,86,657.00","56,443.20","56,429.20",14.00,"56,415.20",0.00,"53,356.30","15,080.70","38,275.60",132.30,"2,893.70",0.00,"1,67,448.00",10.00
1,bajaj-auto,MAR'16,"2,26,876.00","9,132.70","2,36,009.00","1,79,080.00","56,928.20","56,923.40",4.80,"56,918.60",0.00,"53,851.80","17,327.70","36,524.10",126.20,"2,893.70",0.00,"1,20,023.00",10.00
2,bajaj-auto,MAR'15,"2,16,120.00","5,824.20","2,21,944.00","1,74,955.00","46,989.70","43,521.90",64.90,"43,457.00",0.00,"40,847.90","12,710.50","28,137.40",97.20,"2,893.70",0.00,"1,04,028.00",10.00
3,bajaj-auto,MAR'14,"2,01,495.00","7,064.10","2,08,559.00","1,60,438.00","48,121.50","48,116.60",4.90,"48,111.70",0.00,"46,320.50","13,887.30","32,433.20",112.08,"2,893.70",0.00,"93,186.50",10.00
4,bajaj-auto,MAR'13,"1,99,972.00","7,954.90","2,07,927.00","1,63,620.00","44,307.40","44,302.00",5.40,"44,296.60",0.00,"42,662.30","12,226.60","30,435.70",105.18,"2,893.70",0.00,"76,125.80",10.00
0,yesbank,MAR'17,"1,64,246.00","41,567.60","2,05,814.00","41,165.40","58,375.20",0.00,"1,06,273.00","-1,06,273.00",0.00,"50,441.10","17,140.20","33,300.90",78.89,"4,564.90",0.00,"2,15,976.00",10.00
1,yesbank,MAR'16,"1,35,334.00","27,121.50","1,62,456.00","29,763.70","43,025.00",0.00,"89,667.20","-89,667.20",0.00,"37,662.00","12,267.50","25,394.50",60.62,"4,205.30",0.00,"1,33,661.00",10.00
2,yesbank,MAR'15,"1,15,720.00","20,464.60","1,36,185.00","22,847.10","32,495.80",0.00,"80,841.70","-80,841.70",0.00,"29,101.10","9,047.50","20,053.60",49.34,"4,177.40",0.00,"1,12,622.00",10.00
3,yesbank,MAR'14,"99,813.50","17,215.80","1,17,029.00","17,498.70","26,879.70","23,262.80","72,650.90","-49,388.10",0.00,"23,262.80","7,085.00","16,177.80",44.92,"3,606.30",0.00,"67,611.10",10.00
4,yesbank,MAR'13,"82,940.00","12,574.30","95,514.30","13,345.40","21,416.80","19,257.30","60,752.10","-41,494.80",0.00,"19,257.30","6,250.50","13,006.80",36.53,"3,586.20",0.00,"54,490.50",10.00
0,heromotoco,MAR'17,"3,08,461.00","5,224.30","3,13,686.00","2,62,113.00","51,572.40","51,511.90",60.50,"51,451.40",0.00,"46,584.60","12,813.40","33,771.20",169.12,399.40,0.00,"1,00,714.00",2.00
1,heromotoco,MAR'16,"2,85,993.00","3,911.20","2,89,904.00","2,41,523.00","48,381.30","48,359.80",21.50,"48,338.30",0.00,"43,945.80","12,622.10","31,323.70",156.86,399.40,0.00,"79,048.10",2.00
2,heromotoco,MAR'15,"2,75,853.00","4,927.40","2,80,780.00","2,40,431.00","40,349.20","38,687.90",110.90,"38,577.00",0.00,"33,288.20","9,431.80","23,856.40",119.46,399.40,0.00,"65,013.90",2.00
3,heromotoco,MAR'14,"2,52,755.00","4,463.80","2,57,218.00","2,17,354.00","39,864.40","39,746.20",118.20,"39,628.00",0.00,"28,672.50","7,581.70","21,090.80",105.61,399.40,0.00,"55,599.30",2.00
