stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Net Profit,Tax,Earnings Per Share,Unnamed: 0,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x),close_price
BHARTIARTL,01-Jul-13,"4,53,509.00","14,631.00","4,68,140.00","3,18,802.00","1,49,338.00","1,32,815.00","16,523.00","1,16,292.00","50,963.00","13,585.00",13.42,4,141.83,"1,511.30",20,"45,350.90","31,880.20",5.79,9.9,12.18,21.74,9.29,2.06,0.34,2.44,0,296.15
WIPRO,31-Mar-17,"4,60,478.00","25,700.00","4,86,178.00","3,64,909.00","1,21,269.00","1,17,348.00","3,921.00","1,13,427.00","81,617.00","25,254.00",33.61,0,189.4,"21,854.40",100,"46,047.80","36,490.90",13.44,18.84,22.08,7.67,13.6,2.72,0.39,2.72,0,515.7
WIPRO,31-Mar-16,"4,47,397.00","27,209.00","4,74,606.00","3,55,819.00","1,18,787.00","1,13,509.00","5,278.00","1,08,231.00","80,990.00","23,831.00",32.97,1,164.43,"21,267.10",300,"44,680.80","35,371.90",14.68,21.82,25.22,8.49,15.33,3.43,1.07,3.11,0,564.25
WIPRO,31-Mar-15,"4,12,872.00","24,216.00","4,37,088.00","3,20,105.00","1,16,983.00","1,13,354.00","3,629.00","1,09,725.00","81,931.00","23,639.00",33.38,2,139.92,"19,726.30",600,"41,209.80","32,013.30",16.58,25.66,29.25,18.92,17.27,4.49,1.91,3.76,0,628.85
WIPRO,31-Mar-14,"3,87,927.00","15,757.00","4,03,684.00","2,96,488.00","1,07,196.00","1,03,449.00","3,747.00","99,702.00","73,874.00","22,208.00",30.09,3,118.92,"18,337.50",400,"38,757.20","29,836.30",17.14,27.62,31.07,18.11,16.47,4.56,1.47,3.45,0,543.2
WIPRO,01-Jul-13,"3,32,420.00","13,098.00","3,45,518.00","2,62,930.00","82,588.00","79,064.00","3,524.00","75,540.00","56,502.00","15,549.00",23.03,4,98.15,"15,904.20",350,"33,226.50","26,293.00",14.28,23.33,25.21,19.06,16.95,4.45,1.6,3.24,0,351.25
TATAMOTORS,31-Mar-17,"4,91,004.00","12,312.90","5,03,317.00","4,78,542.00","24,774.80","5,486.20","15,901.50","-10,415.30","-24,799.90",592.2,-7.3,0,61.28,"3,558.52",0,"44,364.00","43,117.81",-4.47,-11.49,-2.13,0,323.31,7.6,0,3.57,0,465.85
TATAMOTORS,31-Mar-16,"4,23,698.00","21,329.20","4,45,027.00","4,00,543.00","44,484.60","26,041.40","14,811.10","11,230.30","2,342.30",-838.4,0.68,1,65.81,"3,026.75",10,"42,369.82","40,054.28",0.46,1.26,4.4,560.02,48.8,5.87,0.05,3.1,0,386.6
TATAMOTORS,31-Mar-15,"3,62,947.00","18,814.10","3,81,762.00","3,75,322.00","6,439.30","-13,715.00","16,116.80","-29,831.80","-47,389.50","7,642.30",-14.72,2,46.11,"3,091.46",0,"36,301.63","37,539.11",-9.51,-27.88,-6.73,0,-82.88,11.93,0,4.88,0,550.2
TATAMOTORS,31-Mar-14,"3,42,881.00","38,330.30","3,81,211.00","3,51,993.00","29,218.80","10,445.00","13,375.20","-2,930.20","3,345.20","-13,603.20",1.03,3,59.51,"2,877.69",100,"34,288.11","35,183.60",0.66,1.75,0.93,379.23,53.32,6.69,0.5,3.74,0,398.65
TATAMOTORS,01-Jul-13,"4,47,657.00","20,882.00","4,68,539.00","4,30,477.00","38,061.80","19,925.50","13,877.60","6,047.90","3,018.10","-1,268.80",0.93,4,59.91,"2,837.00",100,"44,765.72","43,057.41",0.57,1.57,4.39,284.65,40.53,4.5,0.74,1.92,0,289.8
AXISBANK,31-Mar-17,"4,45,422.00","1,16,913.00","5,62,335.00","1,21,999.00","1,75,845.00",0,"2,64,490.00","-2,64,490.00","36,792.80","17,882.80",15.4,0,0,,0,,,0.64,6.76,7.61,31.95,28.07,2.11,1.02,2.64,0.07,490.8
AXISBANK,31-Mar-16,"4,09,880.00","93,714.60","5,03,595.00","1,01,008.00","1,61,036.00",0,"2,41,551.00","-2,41,551.00","82,236.60","41,700.90",34.59,1,0,,0,,,1.64,16.81,12.59,12.88,12.22,1.99,1.12,2.58,0.06,444.15
AXISBANK,31-Mar-15,"3,54,786.00","83,650.40","4,38,436.00","92,037.40","1,33,854.00",0,"2,12,545.00","-2,12,545.00","73,578.20","36,990.10",31.18,2,0,,0,,,1.74,17.75,14.25,18.05,17.11,2.97,0.82,3.74,0.06,560.2
AXISBANK,31-Mar-14,"3,06,412.00","74,052.20","3,80,464.00","79,007.70","1,14,561.00","93,486.30","1,86,895.00","-93,408.70","62,176.70","31,309.60",132.56,3,0,,0,,,1.72,17.43,15.2,2.21,10.43,1.8,1.37,2.24,0.06,"1,460.50"
AXISBANK,01-Jul-13,"2,71,826.00","65,511.10","3,37,337.00","69,142.40","93,031.30","75,526.90","1,75,163.00","-99,636.10","51,794.30","23,732.60",119.67,4,0,,0,,,1.65,18.53,15.01,2.35,11.01,1.84,1.38,2.24,0.06,"1,348.80"
