,Book Value (in ?),Earnings Per Share (in ?),Employee Cost,Equity Dividend (%),Interest,Net Sales,Operating Profit,Other Income,PBDT,Total Expenditure,Year,stock_ticker
2,0.00,0.00,,0.00,,,,"8,365.05",,,MAR'15,axisbank
3,0.00,0.00,,0.00,,,,"7,405.22",,,MAR'14,axisbank
4,0.00,0.00,,0.00,,,,"6,551.11",,,MAR'13,axisbank
0,81.68,11.52,"1,480.82",23.10,"7,261.88","20,802.22","21,063.37",550.63,"13,801.49",289.48,MAR'16,powergrid
1,72.95,9.52,"1,596.86",20.00,"6,438.92","17,177.23","17,813.71",795.49,"11,374.79",159.01,MAR'15,powergrid
2,65.87,8.60,"1,397.81",25.80,"5,442.14","15,230.28","15,701.57",792.93,"10,259.43",321.64,MAR'14,powergrid
3,56.68,9.15,"1,325.55",27.50,"5,032.04","12,757.85","14,028.82","1,649.82","8,996.78",378.85,MAR'13,powergrid
4,50.73,7.03,"1,199.99",21.10,"4,198.41","10,164.27","11,368.55","1,463.32","7,170.14",259.04,MAR'12,powergrid
0,871.37,95.72,"1,413.44",100.00,571.39,"23,891.43","5,628.90",659.95,"5,057.51","18,922.48",MAR'17,ultracemco
1,787.33,86.37,"1,343.02",95.00,511.66,"23,708.79","5,107.26",480.66,"4,595.60","19,082.19",MAR'16,ultracemco
2,686.92,73.42,"1,218.29",90.00,547.45,"22,927.19","4,566.81",371.78,"4,019.36","18,732.16",MAR'15,ultracemco
3,623.29,78.20,"1,014.63",90.00,319.17,"20,279.80","4,146.94",329.04,"3,827.77","16,461.90",MAR'14,ultracemco
4,555.54,96.85,968.35,90.00,209.71,"20,179.96","4,980.48",305.00,"4,770.77","15,504.48",MAR'13,ultracemco
0,72.47,18.80,742.83,"1,030.00",22.30,"12,647.11","2,975.78",300.90,"2,953.48","9,972.23",MAR'17,asianpaint
1,61.78,16.92,666.83,750.00,27.00,"11,830.33","2,729.96",249.43,"2,702.96","9,349.80",MAR'16,asianpaint
2,44.10,13.84,606.94,610.00,31.16,"11,648.83","2,201.37",186.82,"2,170.21","9,634.28",MAR'15,asianpaint
3,37.54,12.19,482.43,530.00,28.97,"10,418.78","1,953.82",174.20,"1,924.85","8,639.16",MAR'14,asianpaint
4,315.08,109.47,404.59,460.00,33.93,"8,960.07","1,676.79",126.12,"1,642.86","7,409.40",MAR'13,asianpaint
0,374.47,102.78,"2,879.05",310.00,562.94,"1,89,303.33","13,068.42","2,012.16","12,505.48","1,78,247.06",MAR'16,bpcl
1,309.74,70.32,"2,085.60",225.00,583.10,"2,38,086.91","10,514.63","2,199.96","9,931.53","2,29,772.23",MAR'15,bpcl
