,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,Year,stock_ticker
4,85.65,364.10,100.00,"4,281.45","3,707.96",MAR'12,auropharma
0,167.89,"7,744.40",180.00,"23,165.40","19,860.70",MAR'17,techm
1,149.29,"7,429.00",240.00,"20,969.80","17,703.20",MAR'16,techm
2,112.87,"7,201.20",120.00,"19,162.70","16,256.30",MAR'15,techm
3,358.44,"6,971.50",200.00,"16,295.10","13,170.60",MAR'14,techm
4,319.34,"2,513.80",50.00,"6,001.90","4,954.70",MAR'13,techm
0,694.83,"1,803.30",400.00,"9,719.80","7,974.20",MAR'17,drreddy
1,702.69,"1,693.40",400.00,"10,291.90","8,226.60",MAR'16,drreddy
2,618.75,"1,490.90",400.00,"10,011.00","7,619.90",MAR'15,drreddy
3,543.33,"1,419.90",360.00,"9,728.00","7,004.50",MAR'14,drreddy
4,454.35,"1,138.10",300.00,"8,434.00","6,448.30",MAR'13,drreddy
0,0.00,,0.00,,,MAR'17,bankbaroda
1,0.00,,0.00,,,MAR'16,bankbaroda
2,0.00,,0.00,,,MAR'15,bankbaroda
3,0.00,,0.00,,,MAR'14,bankbaroda
4,0.00,,0.00,,,MAR'13,bankbaroda
0,461.22,778.31,170.00,"11,158.34","9,747.30",DEC'16,accltd
1,449.69,769.87,170.00,"11,796.83","10,268.98",DEC'15,accltd
2,438.64,746.59,340.00,"11,738.21","10,248.61",DEC'14,accltd
3,416.76,661.27,300.00,"11,149.61","9,528.28",DEC'13,accltd
4,393.21,616.65,300.00,"11,357.96","9,162.38",DEC'12,accltd
0,53.61,660.80,130.00,"7,202.25","5,184.21",MAR'17,tatapower
1,54.61,648.47,130.00,"8,690.51","6,241.27",MAR'16,tatapower
2,54.86,686.52,130.00,"8,250.19","6,563.97",MAR'15,tatapower
3,51.64,544.95,125.00,"8,675.53","6,384.78",MAR'14,tatapower
4,48.98,547.60,115.00,"9,567.28","7,537.93",MAR'13,tatapower
