stock_ticker,Year,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x)
HINDALCO,MAR'13,2.78,5.24,4.92,10.31,7.29,0.52,1.53,0.67,0
HINDALCO,MAR'12,4.38,7.31,7.14,11.08,8.47,0.79,1.2,0.93,0
LUPIN,MAR'17,19.58,23.79,30.41,20.77,18.6,4.47,0.52,5.12,0
LUPIN,MAR'16,22.43,27.26,36.19,23.56,21.27,5.65,0.51,5.88,0
LUPIN,MAR'15,24.21,30.11,39.73,37.63,33,10.06,0.37,9.25,0
LUPIN,MAR'14,29.34,39.42,50.01,18.06,16.84,6.04,0.64,4.69,0
LUPIN,MAR'13,19.09,29.41,33.96,22.34,19.96,5.82,0.64,3.95,0
CIPLA,MAR'17,6.33,7.91,9.34,48.88,32.31,3.74,0.34,4.43,0
CIPLA,MAR'16,9.13,12.77,14.79,28.14,21.6,3.46,0.39,3.44,0
CIPLA,MAR'15,7.62,11.21,14.31,48.35,35.38,5.19,0.28,5.64,0
CIPLA,MAR'14,10.53,14.67,18.73,22.19,18,3.06,0.52,3.26,0
CIPLA,MAR'13,13.92,18.38,23.53,20.23,16.84,3.44,0.53,3.72,0
AUROPHARMA,MAR'16,14.62,26.62,25.24,26.92,23.16,6.4,0.34,4.76,0
AUROPHARMA,MAR'15,16.13,32.36,26.6,11.75,20.23,6.65,0.37,4.4,0
AUROPHARMA,MAR'14,15.22,33.72,28.57,6.35,10.97,3.71,0.59,2.09,0
AUROPHARMA,MAR'13,7.74,18.26,14.77,8.57,6.37,1.45,1.03,0.78,0
AUROPHARMA,MAR'12,-0.72,-1.68,2.55,0,34.5,1.39,0.84,0.81,0
TECHM,MAR'17,13.78,19.8,22.64,14.68,12.19,2.74,1.96,1.93,0
TECHM,MAR'16,17.04,25.1,28.36,14.49,12.38,3.18,2.52,2.19,0
TECHM,MAR'15,14.48,23.49,29.55,26.81,22.22,5.58,0.95,3.16,0
TECHM,MAR'14,24.87,43.11,45.9,3.9,13.46,5.01,1.11,2.57,0
TECHM,MAR'13,9.71,17.43,18.24,5.2,16.76,3.32,0.47,2.26,0
DRREDDY,MAR'17,8.17,11.78,11,31.53,20.6,3.79,0.76,4.49,0
DRREDDY,MAR'16,7.5,12.2,12.04,37.67,25.58,4.32,0.66,5.03,0
DRREDDY,MAR'15,9.37,16.97,16.49,35.39,27.39,5.64,0.57,5.94,0
DRREDDY,MAR'14,12.7,22.79,23.15,22.55,18.84,4.71,0.7,4.48,0
DRREDDY,MAR'13,9.98,17.6,20.01,23.7,19,3.89,0.85,3.56,0
BANKBARODA,MAR'17,0.2,3.8,6.05,28.81,21.04,1.09,0.69,0.94,0.04
BANKBARODA,MAR'16,-0.78,-14.4,-6.15,0,-6.93,0.94,0,0.77,0.04
BANKBARODA,MAR'15,0.49,9.21,10.27,10.63,9.66,0.93,1.96,0.84,0.04
BANKBARODA,MAR'14,0.75,13.8,11.04,1.36,6.34,0.89,2.98,0.8,0.03
BANKBARODA,MAR'13,0.9,15.68,11.44,1.27,5.97,0.93,3.17,0.81,0.03
ACCLTD,DEC'16,4.58,7.04,10.26,41.41,20.66,2.88,1.28,2.24,0
ACCLTD,DEC'15,4.64,7.09,10.19,43.15,20.53,3.02,1.25,2.16,0
ACCLTD,DEC'14,9.44,14.55,15.13,22.49,15.22,3.19,2.43,2.24,0
ACCLTD,DEC'13,9.12,14.41,17.4,18.99,12.46,2.66,2.71,1.87,0
ACCLTD,DEC'12,8.87,14.56,21.52,25.29,16.57,3.64,2.1,2.36,0
TATAPOWER,MAR'17,0.76,1.94,6.01,86.35,26.67,1.69,1.44,3.4,0
TATAPOWER,MAR'16,3.97,8.95,10.37,12.9,8.92,1.18,2.01,2.01,0
TATAPOWER,MAR'15,3.15,7.11,9.58,20.64,13.15,1.35,1.69,2.53,0
TATAPOWER,MAR'14,3.25,7.58,9.57,21.09,13.05,1.56,1.47,2.32,0
TATAPOWER,MAR'13,3.86,8.51,10.6,21.54,16.47,1.87,1.19,2.39,0
