,stock_ticker,Year,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x)
2,yesbank,MAR'15,1.64,21.33,13.44,17.01,16.32,2.92,1.10,2.95,0.06
3,yesbank,MAR'14,1.55,25.02,14.40,9.22,8.87,2.09,1.93,1.49,0.06
4,yesbank,MAR'13,1.51,24.81,15.09,11.82,11.36,2.65,1.40,1.85,0.05
0,heromotoco,MAR'17,23.04,35.66,49.24,19.06,16.64,6.37,2.64,2.26,0.00
1,heromotoco,MAR'16,26.35,41.11,57.75,18.60,16.34,6.65,2.45,2.07,0.00
2,heromotoco,MAR'15,23.34,39.30,53.76,22.12,18.04,8.07,2.27,1.91,0.00
3,heromotoco,MAR'14,21.49,39.77,48.66,21.52,14.11,8.11,2.86,1.80,0.00
4,heromotoco,MAR'13,21.69,45.57,42.46,14.54,9.45,6.15,3.89,1.30,0.00
0,boschltd,MAR'16,9.97,15.94,23.58,52.39,39.78,7.87,0.41,6.15,0.00
1,boschltd,MAR'15,11.95,19.61,28.28,59.58,42.26,10.85,0.33,6.60,0.00
2,boschltd,DEC'13,8.94,14.91,20.47,35.80,24.96,5.03,0.55,3.62,0.00
3,boschltd,DEC'12,11.82,18.60,24.94,31.05,22.45,5.34,0.63,3.44,0.00
4,boschltd,DEC'11,16.05,25.44,33.46,18.96,15.42,4.50,1.99,2.61,0.00
0,binfra,MAR'17,12.74,15.38,19.04,22.25,15.55,3.71,4.92,9.89,0.00
1,binfra,MAR'16,5.92,7.21,10.33,54.61,29.20,3.83,0.78,13.04,0.00
2,binfra,MAR'15,11.60,15.34,18.30,26.74,18.94,4.07,2.86,13.52,0.00
3,binfra,MAR'14,4.76,6.20,8.50,35.30,17.56,2.18,2.16,7.70,0.00
4,binfra,MAR'13,4.99,6.28,8.16,33.10,15.78,1.91,3.11,7.49,0.00
0,gail,MAR'16,4.20,7.70,9.86,19.66,12.51,1.48,1.54,0.87,0.00
1,gail,MAR'15,5.59,10.82,12.22,16.23,12.29,1.69,1.54,0.87,0.00
2,gail,MAR'14,8.68,17.06,19.17,10.89,8.59,1.76,2.77,0.83,0.00
3,gail,MAR'13,9.27,17.54,20.75,10.07,8.09,1.67,3.01,0.85,0.00
4,gail,MAR'12,10.27,17.88,22.48,13.02,10.70,2.20,2.32,1.18,0.00
0,tatasteel,MAR'17,0.00,0.00,0.00,0.00,6.71,1.02,0.00,0.00,0.00
1,tatasteel,MAR'16,0.00,0.00,0.00,0.00,7.92,0.63,0.00,0.00,0.00
2,tatasteel,MAR'15,5.67,10.11,11.15,4.78,3.65,0.46,2.52,0.74,0.00
3,tatasteel,MAR'14,6.01,11.05,13.11,5.97,4.59,0.63,2.54,0.92,0.00
4,tatasteel,MAR'13,5.10,9.46,11.75,5.99,4.52,0.55,2.56,0.79,0.00
0,ambujacem,DEC'16,5.19,6.60,9.57,42.21,22.49,2.15,1.36,4.43,0.00
1,ambujacem,DEC'15,5.76,7.92,12.35,39.07,22.01,3.06,1.38,3.35,0.00
2,ambujacem,DEC'14,11.14,15.30,18.80,23.69,17.67,3.51,2.19,3.56,0.00
3,ambujacem,DEC'13,10.24,14.19,17.19,21.82,15.83,2.98,1.97,3.09,0.00
4,ambujacem,DEC'12,10.87,15.42,23.31,23.89,16.64,3.53,1.79,3.20,0.00
0,zeel,MAR'17,15.25,25.76,31.27,49.64,46.19,11.61,0.47,10.41,0.00
1,zeel,MAR'16,11.22,21.31,25.79,56.36,51.66,10.28,0.58,8.82,0.00
2,zeel,MAR'15,16.20,36.81,28.36,46.16,36.87,12.77,0.66,9.57,0.00
3,zeel,MAR'14,17.76,29.12,32.27,34.15,32.35,13.37,0.74,8.48,0.00
4,zeel,MAR'13,17.08,20.19,30.01,31.38,30.07,6.00,0.95,7.84,0.00
0,ibulhsgfin,MAR'16,3.44,27.01,12.89,11.88,11.78,2.59,6.96,3.40,0.00
1,ibulhsgfin,MAR'15,3.97,33.10,13.86,10.02,9.93,3.06,4.66,3.15,0.00
2,ibulhsgfin,MAR'14,3.65,29.36,13.51,5.23,5.20,1.45,12.27,1.50,0.00
3,ibulhsgfin,MAR'13,5.23,42.50,19.56,0.00,0.00,0.00,0.00,0.00,0.00
4,ibulhsgfin,MAR'12,4.47,29.61,13.97,0.00,0.00,0.00,0.00,0.00,0.00
0,hindalco,MAR'16,0.80,1.63,4.70,29.90,9.64,0.49,1.14,0.53,0.00
1,hindalco,MAR'15,1.24,2.50,4.44,28.83,15.14,0.72,0.77,0.77,0.00
2,hindalco,MAR'14,2.01,4.03,3.96,20.70,13.08,0.80,0.71,1.05,0.00
3,hindalco,MAR'13,2.78,5.24,4.92,10.31,7.29,0.52,1.53,0.67,0.00
4,hindalco,MAR'12,4.38,7.31,7.14,11.08,8.47,0.79,1.20,0.93,0.00
0,lupin,MAR'17,19.58,23.79,30.41,20.77,18.60,4.47,0.52,5.12,0.00
1,lupin,MAR'16,22.43,27.26,36.19,23.56,21.27,5.65,0.51,5.88,0.00
2,lupin,MAR'15,24.21,30.11,39.73,37.63,33.00,10.06,0.37,9.25,0.00
3,lupin,MAR'14,29.34,39.42,50.01,18.06,16.84,6.04,0.64,4.69,0.00
4,lupin,MAR'13,19.09,29.41,33.96,22.34,19.96,5.82,0.64,3.95,0.00
0,cipla,MAR'17,6.33,7.91,9.34,48.88,32.31,3.74,0.34,4.43,0.00
1,cipla,MAR'16,9.13,12.77,14.79,28.14,21.60,3.46,0.39,3.44,0.00
2,cipla,MAR'15,7.62,11.21,14.31,48.35,35.38,5.19,0.28,5.64,0.00
3,cipla,MAR'14,10.53,14.67,18.73,22.19,18.00,3.06,0.52,3.26,0.00
4,cipla,MAR'13,13.92,18.38,23.53,20.23,16.84,3.44,0.53,3.72,0.00
0,auropharma,MAR'16,14.62,26.62,25.24,26.92,23.16,6.40,0.34,4.76,0.00
1,auropharma,MAR'15,16.13,32.36,26.60,11.75,20.23,6.65,0.37,4.40,0.00
2,auropharma,MAR'14,15.22,33.72,28.57,6.35,10.97,3.71,0.59,2.09,0.00
3,auropharma,MAR'13,7.74,18.26,14.77,8.57,6.37,1.45,1.03,0.78,0.00
4,auropharma,MAR'12,-0.72,-1.68,2.55,0.00,34.50,1.39,0.84,0.81,0.00
0,techm,MAR'17,13.78,19.80,22.64,14.68,12.19,2.74,1.96,1.93,0.00
1,techm,MAR'16,17.04,25.10,28.36,14.49,12.38,3.18,2.52,2.19,0.00
2,techm,MAR'15,14.48,23.49,29.55,26.81,22.22,5.58,0.95,3.16,0.00
3,techm,MAR'14,24.87,43.11,45.90,3.90,13.46,5.01,1.11,2.57,0.00
4,techm,MAR'13,9.71,17.43,18.24,5.20,16.76,3.32,0.47,2.26,0.00
0,drreddy,MAR'17,8.17,11.78,11.00,31.53,20.60,3.79,0.76,4.49,0.00
1,drreddy,MAR'16,7.50,12.20,12.04,37.67,25.58,4.32,0.66,5.03,0.00
2,drreddy,MAR'15,9.37,16.97,16.49,35.39,27.39,5.64,0.57,5.94,0.00
3,drreddy,MAR'14,12.70,22.79,23.15,22.55,18.84,4.71,0.70,4.48,0.00
4,drreddy,MAR'13,9.98,17.60,20.01,23.70,19.00,3.89,0.85,3.56,0.00
0,bankbaroda,MAR'17,0.20,3.80,6.05,28.81,21.04,1.09,0.69,0.94,0.04
1,bankbaroda,MAR'16,-0.78,-14.40,-6.15,0.00,-6.93,0.94,0.00,0.77,0.04
2,bankbaroda,MAR'15,0.49,9.21,10.27,10.63,9.66,0.93,1.96,0.84,0.04
3,bankbaroda,MAR'14,0.75,13.80,11.04,1.36,6.34,0.89,2.98,0.80,0.03
4,bankbaroda,MAR'13,0.90,15.68,11.44,1.27,5.97,0.93,3.17,0.81,0.03
0,accltd,DEC'16,4.58,7.04,10.26,41.41,20.66,2.88,1.28,2.24,0.00
1,accltd,DEC'15,4.64,7.09,10.19,43.15,20.53,3.02,1.25,2.16,0.00
2,accltd,DEC'14,9.44,14.55,15.13,22.49,15.22,3.19,2.43,2.24,0.00
3,accltd,DEC'13,9.12,14.41,17.40,18.99,12.46,2.66,2.71,1.87,0.00
4,accltd,DEC'12,8.87,14.56,21.52,25.29,16.57,3.64,2.10,2.36,0.00
0,tatapower,MAR'17,0.76,1.94,6.01,86.35,26.67,1.69,1.44,3.40,0.00
1,tatapower,MAR'16,3.97,8.95,10.37,12.90,8.92,1.18,2.01,2.01,0.00
2,tatapower,MAR'15,3.15,7.11,9.58,20.64,13.15,1.35,1.69,2.53,0.00
3,tatapower,MAR'14,3.25,7.58,9.57,21.09,13.05,1.56,1.47,2.32,0.00
4,tatapower,MAR'13,3.86,8.51,10.60,21.54,16.47,1.87,1.19,2.39,0.00
