,high_price,low_price,open_price,total_traded_quantity,turnover,label
234,"1,736.40","1,708.80","1,725.90","3,02,847","5,221.75","1,715.15"
235,"1,724.45","1,667.30","1,678.00","3,49,126","5,963.06","1,721.05"
236,"1,684.90","1,657.15","1,679.90","1,31,610","2,195.14","1,666.25"
237,"1,684.80","1,661.00","1,672.70","1,18,390","1,981.33","1,668.80"
238,"1,688.80","1,659.60","1,678.00","1,58,612","2,656.82","1,670.75"
239,"1,703.50","1,674.00","1,695.55","1,64,006","2,772.27","1,688.85"
240,"1,717.95","1,665.60","1,681.95","2,90,569","4,929.63","1,688.70"
241,"1,690.65","1,659.50","1,676.00","4,08,192","6,828.46","1,685.10"
242,"1,699.95","1,657.40","1,699.95","3,60,859","6,056.56","1,665.15"
243,"1,709.95","1,660.95","1,685.00","8,56,261","14,471.98","1,675.55"
244,"1,693.75","1,668.35","1,678.95","2,96,454","4,984.21","1,675.65"
245,"1,702.85","1,675.15","1,700.00","3,21,797","5,429.62","1,681.55"
246,"1,718.00","1,643.00","1,645.00","8,83,761","14,996.49","1,708.20"
247,"1,640.00","1,607.55","1,612.10","3,40,427","5,538.22","1,631.80"
248,"1,611.90","1,579.55","1,595.30","2,92,358","4,672.85","1,602.55"
249,"1,619.00","1,590.20","1,619.00","1,82,531","2,928.42","1,595.50"
250,"1,644.30","1,608.15","1,628.30","2,02,637","3,286.03","1,613.00"
251,"1,629.00","1,609.40","1,617.90","1,51,787","2,462.28","1,626.20"
252,"1,625.30","1,611.00","1,616.50","2,04,473","3,305.80","1,617.20"
253,"1,629.95","1,607.80","1,616.20","1,44,382","2,338.87","1,620.10"
254,"1,623.85","1,606.05","1,608.10","1,33,805","2,164.10","1,616.80"
255,"1,610.05","1,592.30","1,610.00","2,00,172","3,202.99","1,597.65"
256,"1,609.75","1,569.05","1,585.70","2,99,181","4,762.45","1,604.70"
257,"1,614.60","1,585.00","1,612.70","2,44,811","3,911.78","1,589.30"
258,"1,625.95","1,600.25","1,618.00","1,50,330","2,426.64","1,605.60"
259,"1,626.05","1,611.75","1,618.35","1,89,854","3,076.78","1,617.40"
260,"1,624.95","1,595.15","1,601.50","4,34,696","6,993.17","1,616.05"
261,"1,617.00","1,591.65","1,617.00","5,66,696","9,089.13","1,598.95"
262,"1,610.35","1,585.00","1,608.20","2,20,564","3,517.58","1,598.40"
263,"1,614.00","1,564.85","1,567.00","4,36,913","6,992.78","1,601.00"
264,"1,575.95","1,522.00","1,550.00","4,54,077","7,000.38","1,568.10"
265,"1,579.70","1,566.00","1,571.00","2,03,556","3,201.86","1,571.60"
266,"1,575.00","1,558.55","1,565.00","2,62,079","4,106.97","1,571.05"
267,"1,576.85","1,553.50","1,573.00","1,32,191","2,062.78","1,559.00"
268,"1,574.05","1,538.40","1,538.40","1,89,189","2,941.03","1,570.15"
269,"1,559.40","1,544.60","1,555.00","1,59,057","2,468.97","1,555.40"
270,"1,571.40","1,535.55","1,559.90","2,46,458","3,824.77","1,544.95"
271,"1,564.65","1,538.05","1,542.05","1,69,282","2,628.27","1,560.15"
272,"1,552.85","1,536.20","1,550.00","1,23,826","1,909.36","1,539.95"
273,"1,551.80","1,537.00","1,548.00","3,85,737","5,958.40","1,546.80"
274,"1,559.95","1,530.00","1,530.00","6,83,588","10,576.45","1,555.65"
275,"1,555.00","1,528.00","1,547.50","4,25,292","6,575.42","1,533.00"
276,"1,550.00","1,532.15","1,545.00","3,69,780","5,700.03","1,546.75"
277,"1,555.90","1,526.15","1,526.15","3,50,868","5,413.03","1,540.45"
278,"1,544.50","1,532.00","1,542.00","4,06,775","6,256.31","1,534.70"
279,"1,564.00","1,533.60","1,553.50","7,65,137","11,816.03","1,540.00"
280,"1,558.00","1,537.10","1,552.40","2,04,883","3,163.46","1,546.30"
281,"1,559.95","1,528.00","1,535.00","7,41,826","11,439.49","1,552.40"
282,"1,546.50","1,521.50","1,535.05","4,47,261","6,877.26","1,529.05"
283,"1,546.00","1,525.05","1,530.00","6,09,125","9,376.20","1,537.15"
284,"1,533.30","1,502.00","1,509.00","4,33,423","6,574.16","1,522.95"
285,"1,508.00","1,474.75","1,485.00","3,16,361","4,734.52","1,504.05"
286,"1,489.40","1,452.75","1,456.00","4,06,129","5,977.66","1,475.05"
287,"1,450.00","1,412.60","1,418.05","2,19,384","3,153.61","1,446.15"
288,"1,428.00","1,390.00","1,393.25","3,21,582","4,555.33","1,418.00"
289,"1,418.85","1,390.15","1,415.00","1,32,709","1,864.80","1,393.45"
290,"1,438.00","1,403.00","1,435.00","1,23,694","1,758.16","1,409.85"
291,"1,442.50","1,428.50","1,442.50","1,42,481","2,043.19","1,434.05"
292,"1,468.00","1,440.05","1,468.00","1,36,278","1,979.38","1,449.40"
293,"1,462.00","1,442.60","1,452.30","95,257","1,384.15","1,458.20"
294,"1,462.95","1,441.00","1,451.10","1,91,465","2,781.14","1,457.10"
295,"1,475.00","1,456.10","1,460.00","1,27,214","1,865.65","1,462.40"
296,"1,472.40","1,441.50","1,457.00","3,11,712","4,557.02","1,467.25"
297,"1,465.95","1,425.50","1,438.00","2,57,547","3,739.21","1,463.35"
298,"1,451.90","1,428.40","1,432.50","1,82,897","2,638.81","1,439.75"
299,"1,445.00","1,388.30","1,389.00","2,94,483","4,164.91","1,425.45"
300,"1,407.80","1,379.30","1,395.80","2,16,481","3,012.24","1,394.85"
301,"1,420.00","1,398.20","1,414.00","1,91,198","2,693.86","1,403.70"
302,"1,445.00","1,413.70","1,430.00","2,18,099","3,123.26","1,420.15"
303,"1,446.45","1,416.15","1,442.00","2,05,976","2,931.26","1,420.55"
