,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,Year,stock_ticker
4,170.49,717.97,87,"40,440.76","34,868.22",MAR'12,GAIL
0,0,"4,605.13",100,"47,993.02","36,190.93",MAR'17,TATASTEEL
1,0,"4,319.89",80,"38,221.49","30,610.91",MAR'16,TATASTEEL
2,684.62,"4,601.92",80,"41,785.00","31,853.61",MAR'15,TATASTEEL
3,627.59,"3,673.08",100,"41,711.03","28,960.75",MAR'14,TATASTEEL
4,566.94,"3,602.27",80,"38,199.43","27,204.12",MAR'13,TATASTEEL
0,96.06,593.72,140,"9,239.88","7,557.19",DEC'16,AMBUJACEM
1,66.41,589.52,140,"9,431.43","7,899.96",DEC'15,AMBUJACEM
2,65.13,581.58,250,"9,951.97","8,023.53",DEC'14,AMBUJACEM
3,61.24,502.17,180,"9,149.45","7,482.51",DEC'13,AMBUJACEM
4,56.94,478.51,180,"9,686.18","7,213.21",DEC'12,AMBUJACEM
0,46.06,288.9,250,"4,928.40","3,423.40",MAR'17,ZEEL
1,37.58,301.5,225,"4,206.50","3,117.60",MAR'16,ZEEL
2,26.75,272.9,225,"3,426.20","2,393.90",MAR'15,ZEEL
3,20.32,217.3,200,"3,075.70","2,045.20",MAR'14,ZEEL
4,35.14,184.8,200,"2,565.90","1,703.60",MAR'13,ZEEL
0,249.25,368.63,"2,250.00","8,007.49","1,001.47",MAR'16,IBULHSGFIN
1,182.51,279.28,"1,300.00","6,291.52",804.06,MAR'15,IBULHSGFIN
2,163.58,220.57,"1,450.00","5,253.86",587.99,MAR'14,IBULHSGFIN
3,154.34,203.62,"1,000.00","4,460.97",511.31,MAR'13,IBULHSGFIN
4,61.35,12.03,0,785.51,61.94,MAR'12,IBULHSGFIN
0,179.36,"1,698.06",100,"34,317.66","31,011.01",MAR'16,HINDALCO
1,180.3,"1,589.48",100,"34,525.03","31,153.78",MAR'15,HINDALCO
2,177.83,"1,345.47",100,"27,850.93","25,708.18",MAR'14,HINDALCO
3,174.54,"1,200.80",140,"26,056.93","23,857.64",MAR'13,HINDALCO
4,164.41,"1,113.35",155,"26,596.78","23,622.56",MAR'12,HINDALCO
0,323.44,"1,403.03",375,"12,753.15","8,267.03",MAR'17,LUPIN
1,261.84,"1,218.09",375,"11,343.77","7,356.77",MAR'16,LUPIN
2,199.59,"1,052.55",375,"9,752.47","6,379.22",MAR'15,LUPIN
3,155.06,844.32,300,"8,939.38","6,027.05",MAR'14,LUPIN
