,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Net Profit,Tax,Earnings Per Share,Unnamed: 0,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure
106,ASIANPAINT,MAR'14,"1,04,188.00","1,736.60","1,05,924.00","86,415.10","19,509.30","19,148.90",260.8,"18,888.10","11,690.60","5,335.10",12.19,3,37.54,482.43,530,"10,418.78","8,639.16"
107,ASIANPAINT,MAR'13,"89,717.00","1,261.50","90,978.50","74,244.30","16,734.20","16,428.60",305.6,"16,123.00","10,500.00","4,658.80",109.47,4,315.08,404.59,460,"8,960.07","7,409.40"
108,BPCL,MAR'16,"18,93,030.00","20,121.60","19,13,150.00","17,82,470.00","1,30,684.00","1,25,055.00","5,629.40","1,19,425.60","74,318.80","32,193.00",102.78,0,374.47,"2,879.05",310,"1,89,303.33","1,78,247.06"
109,BPCL,MAR'15,"23,80,870.00","21,999.60","24,02,870.00","22,97,720.00","1,05,146.00","99,315.30","5,831.00","93,484.30","50,845.10","23,310.00",70.32,1,309.74,"2,085.60",225,"2,38,086.91","2,29,772.23"
110,BPCL,MAR'14,"26,00,610.00","14,686.60","26,15,290.00","25,19,740.00","95,548.80","81,958.00","13,590.80","68,367.20","40,608.80","18,881.00",56.16,2,267.72,"2,896.35",170,"2,60,074.98","2,51,974.31"
111,BPCL,MAR'13,"24,01,160.00","16,802.30","24,17,960.00","23,40,090.00","77,870.30","59,617.90","18,252.40","41,365.50","26,429.00","13,927.90",36.55,3,229.68,"2,768.87",110,"2,40,115.75","2,34,172.88"
112,SESAGOA,MAR'17,"3,85,404.00","97,049.20","4,82,453.00","3,18,890.00","1,63,564.00","1,37,843.00","38,961.60","98,881.40","1,10,687.00","-2,706.90",25.72,0,214.16,784.35,"1,945.00","36,663.26","30,017.39"
113,SESAGOA,MAR'16,"2,98,106.00","88,238.20","3,86,344.00","2,59,048.00","1,27,296.00","66,978.70","35,413.60","31,565.10","54,718.80",80.2,18.45,1,212.48,706.26,350,"34,094.28","28,304.88"
114,SESAGOA,MAR'15,"3,25,024.00","20,088.60","3,45,113.00","2,78,738.00","66,375.00","29,791.40","36,559.30","-6,767.90","19,272.00",402.7,6.5,2,114.63,650.13,410,"32,502.41","27,873.77"
115,SESAGOA,MAR'14,"2,85,365.00","18,170.60","3,03,536.00","2,62,246.00","41,289.80","4,331.40","35,649.60","-31,318.20","10,760.90","-21,477.40",3.63,3,113.24,559.08,325,"28,536.53","26,224.61"
116,SESAGOA,MAR'13,"21,879.20","3,419.90","25,299.10","18,460.70","6,838.40","2,049.00","4,692.30","-2,643.30","1,207.70",-637.8,1.39,4,149.85,184.62,10,"2,347.63","2,005.78"
117,INDUSINDBK,MAR'17,"1,44,057.00","41,714.90","1,85,772.00","47,830.80","54,510.10",0,"83,430.70","-83,430.70","28,678.90","14,917.90",48.06,0,0,,0,,
118,INDUSINDBK,MAR'16,"1,15,807.00","32,969.50","1,48,776.00","36,721.00","41,414.20","34,692.60","70,640.90","-35,948.30","22,864.50","11,828.10",39.68,1,0,,0,,
