,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital
0,axisbank,JUN'17,"1,10,525.00","29,998.10","1,40,523.00","33,247.90","42,911.60",0.00,"64,363.50","-64,363.50",0.00,"19,492.30","6,436.30","13,056.00",5.45,"4,794.00",0.00
1,axisbank,MAR'17,"1,11,682.00","30,131.60","1,41,813.00","33,670.20","43,747.40",0.00,"64,395.50","-64,395.50",0.00,"17,934.90","5,683.90","12,251.00",5.12,"4,790.10",0.00
2,axisbank,DEC'16,"1,11,010.00","34,002.10","1,45,012.00","30,937.10","46,402.30","8,444.30","67,672.70","-59,228.40",0.00,"8,444.30","2,648.60","5,795.70",2.42,"4,782.80",0.00
3,axisbank,SEP'16,"1,11,591.00","25,396.60","1,36,988.00","29,533.50","41,001.80","4,774.40","66,452.40","-61,678.00",0.00,"4,774.40","1,583.60","3,190.80",1.34,"4,779.50",0.00
4,axisbank,JUN'16,"1,11,139.00","27,382.80","1,38,522.00","27,858.30","44,693.70",0.00,"65,969.80","-65,969.80",0.00,"23,522.00","7,966.70","15,555.30",6.52,"4,774.60",0.00
0,powergrid,MAR'17,"67,120.40","3,424.10","70,544.50","10,935.00","59,609.50","44,880.20","15,558.40","29,321.80",0.00,"24,246.90","5,083.30","19,163.60",3.66,"52,315.90",0.00
1,powergrid,DEC'16,"66,297.60","1,577.50","67,875.10","6,705.40","61,169.70","44,659.60","16,426.20","28,233.40",0.00,"25,006.20","5,706.00","19,300.20",3.69,"52,315.90",0.00
2,powergrid,SEP'16,"62,548.80","2,253.20","64,802.00","6,507.40","58,294.60","42,376.80","15,876.00","26,500.80",0.00,"23,608.20","4,888.20","18,720.00",3.58,"52,315.90",0.00
3,powergrid,JUN'16,"61,198.60","1,394.40","62,593.00","7,002.20","55,590.80","40,409.00","15,177.70","25,231.30",0.00,"22,836.30","4,818.60","18,017.70",3.44,"52,315.90",0.00
4,powergrid,MAR'16,"57,600.70","2,014.20","59,614.90","6,662.50","52,952.40","38,179.00","14,773.40","23,405.60",0.00,"20,331.70","4,341.20","15,990.50",3.06,"52,315.90",0.00
0,ultracemco,JUN'17,"75,202.80","1,651.70","76,854.50","59,602.10","17,252.40","15,967.50","1,284.90","14,682.60",0.00,"12,869.60","3,963.40","8,906.20",32.44,"2,745.20",0.00
1,ultracemco,JUN'17,"75,202.80","1,651.70","76,854.50","59,602.10","17,252.40","15,967.50","1,284.90","14,682.60",0.00,"12,869.60","3,963.40","8,906.20",32.44,"2,745.20",0.00
